"Date","AQS_SITE_ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"11/11/2016","260050003","1","2.6","ug/m3 LC","11","1","100.0000","88101","PM2.5 - Local Conditions","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"11/14/2016","260050003","1","9","ug/m3 LC","38","1","100.0000","88101","PM2.5 - Local Conditions","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"11/17/2016","260050003","1","17.2","ug/m3 LC","62","1","100.0000","88101","PM2.5 - Local Conditions","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"11/20/2016","260050003","1","2.1","ug/m3 LC","9","1","100.0000","88101","PM2.5 - Local Conditions","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"11/23/2016","260050003","1","10.1","ug/m3 LC","42","1","100.0000","88101","PM2.5 - Local Conditions","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"11/26/2016","260050003","1","6","ug/m3 LC","25","1","100.0000","88101","PM2.5 - Local Conditions","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"11/29/2016","260050003","1","3.9","ug/m3 LC","16","1","100.0000","88101","PM2.5 - Local Conditions","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"12/02/2016","260050003","1","2","ug/m3 LC","8","1","100.0000","88101","PM2.5 - Local Conditions","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"12/05/2016","260050003","1","7.8","ug/m3 LC","33","1","100.0000","88101","PM2.5 - Local Conditions","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"12/08/2016","260050003","1","4.6","ug/m3 LC","19","1","100.0000","88101","PM2.5 - Local Conditions","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"12/11/2016","260050003","1","10.5","ug/m3 LC","44","1","100.0000","88101","PM2.5 - Local Conditions","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"12/14/2016","260050003","1","5.1","ug/m3 LC","21","1","100.0000","88101","PM2.5 - Local Conditions","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"12/17/2016","260050003","1","15.4","ug/m3 LC","58","1","100.0000","88101","PM2.5 - Local Conditions","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"12/20/2016","260050003","1","8.4","ug/m3 LC","35","1","100.0000","88101","PM2.5 - Local Conditions","26090","Holland, MI","26","Michigan","005","Allegan","42.7677855514527","-86.1485772164682"
"01/01/2016","260170014","1","9.4","ug/m3 LC","39","1","100.0000","88101","PM2.5 - Local Conditions","13020","Bay City, MI","26","Michigan","017","Bay","43.5713906134716","-83.8907206820599"
"01/04/2016","260170014","1","3.4","ug/m3 LC","14","1","100.0000","88101","PM2.5 - Local Conditions","13020","Bay City, MI","26","Michigan","017","Bay","43.5713906134716","-83.8907206820599"
"01/07/2016","260170014","1","16.8","ug/m3 LC","61","1","100.0000","88101","PM2.5 - Local Conditions","13020","Bay City, MI","26","Michigan","017","Bay","43.5713906134716","-83.8907206820599"
"01/10/2016","260170014","1","1.1","ug/m3 LC","5","1","100.0000","88101","PM2.5 - Local Conditions","13020","Bay City, MI","26","Michigan","017","Bay","43.5713906134716","-83.8907206820599"
"01/13/2016","260170014","1","5.3","ug/m3 LC","22","1","100.0000","88101","PM2.5 - Local Conditions","13020","Bay City, MI","26","Michigan","017","Bay","43.5713906134716","-83.8907206820599"
"01/16/2016","260170014","1","3.1","ug/m3 LC","13","1","100.0000","88101","PM2.5 - Local Conditions","13020","Bay City, MI","26","Michigan","017","Bay","43.5713906134716","-83.8907206820599"
"01/19/2016","260170014","1","3.7","ug/m3 LC","15","1","100.0000","88101","PM2.5 - Local Conditions","13020","Bay City, MI","26","Michigan","017","Bay","43.5713906134716","-83.8907206820599"
